Ticker,Year_T,Predicted_Growth,Confidence,Allocation_Weight
SPFX,2023,-0.02782944522051142,0.500001337355598,0.0
SPG,2019,-0.020244077767356913,0.4973076924416323,0.0
SPG,2020,0.001366791558698218,0.4969541727596324,0.0
SPG,2020,0.0015924164799170745,0.4991391579594451,0.0
SPG,2020,0.0009999322324509645,0.49932291700161646,0.0
SPG,2020,0.001149868903968823,0.4989907069473587,0.0
SPG,2021,-0.0446571655172117,0.4994919662499512,0.0
SPG,2021,-0.044564459605364246,0.49618517086283165,0.0
SPG,2021,-0.046742655549685125,0.49624824254607386,0.0
SPG,2021,-0.04678038982275426,0.4965320795331658,0.0
SPG,2022,-0.04869843907117655,0.4961743724362433,0.0
SPG,2022,-0.04679756591698091,0.4962719765911446,0.0
SPG,2022,-0.04666894822727219,0.49645729000720457,0.0
SPG,2022,-0.04868829165375235,0.4967487335980173,0.0
SPG,2023,-0.04866256549251001,0.49650506227644403,0.0
SPG,2023,-0.048669953696543866,0.4964472936665119,0.0
SPG,2023,-0.046742636606174365,0.4962917187749506,0.0
SPGC,2022,-0.05863182501357918,0.5000074142230554,0.0
SPGC,2023,-0.049386848508845144,0.5000073837105306,0.0
SPGC,2023,-0.049843799430644875,0.5000097127632066,0.0
SPGC,2023,-0.0599864781075662,0.5000100434429919,0.0
SPGI,2019,-0.015915001351901832,0.49762020761867853,0.0
SPGI,2020,-0.01600605553393838,0.49797955911486574,0.0
SPGI,2020,-0.011060121919210606,0.49735322531558895,0.0
SPGI,2020,-0.011346670670746864,0.4974613674484728,0.0
SPGI,2020,-0.01717465895277721,0.4971863816403503,0.0
SPGI,2021,-0.04293249840019772,0.49767504835315635,0.0
SPGI,2021,-0.015800487742452487,0.4961955935211341,0.0
SPGI,2021,-0.07534157824434096,0.4959986457832459,0.0
SPGI,2021,-0.017515860100231408,0.4966715329187313,0.0
SPGI,2022,-0.015290710864266935,0.4979379250958849,0.0
SPGI,2022,-0.012044301346996036,0.49636395213253603,0.0
SPGI,2022,-0.014309491410619053,0.495673136212612,0.0
SPGI,2022,-0.01673819357962691,0.4972864751993774,0.0
SPGI,2023,-0.0003650820043615919,0.4976920629464915,0.0
SPGI,2023,-0.00023316125961207832,0.4980678740992725,0.0
SPGI,2023,-0.000509927985165871,0.4980261721525789,0.0
SPH,2019,0.010838812127978024,0.5002179230223046,0.0
SPH,2020,0.006717178181811095,0.5000842305093847,0.0
SPH,2020,0.005321855702741791,0.5003078489012124,0.0
SPH,2020,0.011859060424694786,0.5001912162328972,0.0
SPH,2020,0.03544677216849479,0.5001863752688941,0.0
SPH,2021,-0.006383176166576085,0.5003552154352633,0.0
SPH,2021,-0.005034743310815373,0.5000980366442689,0.0
SPH,2021,-0.003177068206418987,0.5000685536266305,0.0
SPH,2021,-0.0031806989598463257,0.5001473494213475,0.0
SPH,2022,-0.002635359208232299,0.5002432684334341,0.0
SPH,2022,-0.0032076632745956296,0.5001200153423107,0.0
SPH,2022,-0.003199062736319822,0.5002113164817487,0.0
SPH,2022,-0.0031988270657524716,0.5001271739004695,0.0
SPH,2023,-0.002749522730704672,0.5000885854183117,0.0
SPH,2023,-0.0026246740694260157,0.5002294568195421,0.0
SPH,2023,-0.0026251172776943716,0.5001594792888049,0.0
SPIR,2020,-0.02264405236313919,0.5000743475886283,0.0
SPIR,2021,-0.02038759170818244,0.5000890768561707,0.0
SPIR,2021,-0.021111555765753232,0.5000899878346542,0.0
SPIR,2021,-0.017564069751683647,0.5000952320792065,0.0
SPIR,2021,-0.017565308886250644,0.5000937245543827,0.0
SPIR,2022,-0.0017871440179680377,0.5001267924368227,0.0
SPIR,2022,-0.004117170497784423,0.5002023698106116,0.0
SPIR,2022,-0.0031285401543110804,0.5002002401768874,0.0
SPIR,2022,-0.0010391911127035133,0.5002035282319633,0.0
SPIR,2023,-0.01343842847183525,0.5002153514828699,0.0
SPIR,2023,-0.014752947922343527,0.5001556698463216,0.0
SPIR,2023,-0.014609176345585444,0.500162040655537,0.0
SPKE,2019,0.017750742523739406,0.5002373077338933,0.0
SPKE,2020,0.0060802564442202865,0.5000227291061193,0.0
SPKE,2020,0.010153715882175725,0.5001659569342835,0.0
SPKE,2020,0.0035606967572717196,0.5001264079205062,0.0
SPKE,2020,0.0027833597257912396,0.5001024114640996,0.0
SPKE,2021,-0.008944950840779212,0.5000041033189895,0.0
SPKE,2021,-0.0027527011098433703,0.5001339607403587,0.0
SPKE,2021,0.0013628392448328031,0.5001306127313048,0.0
SPKE,2021,8.55060310142688e-05,0.5001076599198289,0.0
SPKE,2022,0.01785319668675233,0.5001573505694141,0.0
SPKE,2022,0.020530489446626738,0.500096818502988,0.0
SPKE,2022,0.022911124541060972,0.5001297401880104,0.0
SPKE,2022,0.01348134269752916,0.5001359029665824,0.0
SPKE,2023,0.008428013847186059,0.500099994181016,0.0
SPKE,2023,0.00604840979646671,0.5000906016448812,0.0
SPKE,2023,0.0071679606711576825,0.5001085027590068,0.0
SPLK,2020,0.12218540798587531,0.5014241225713455,0.0
SPLK,2021,0.1171290402105282,0.5014569276099052,0.0
SPLK,2021,0.10891184061826888,0.5025388526666292,0.0
SPLK,2021,0.13009180049442579,0.5024981507142197,0.0
SPLK,2021,0.1301055936301488,0.5025588644881975,0.0
SPLK,2022,0.11460341786319456,0.502837347759256,0.0
SPLK,2022,0.1327947099666809,0.5036613946158561,0.0
SPLK,2022,0.14336288916171513,0.5035918390766303,0.0
SPLK,2022,0.1493215380698049,0.5036050119713533,0.0
