ticker,total_years,avg_net_income,profit_consistency_ratio,net_income_volatility,income_growth,quality_score,stability_score,growth_score,allocation_score,portfolio_decision
ELAN,5,-460372121.9,0.2,507940003.9,-1298740312,4,5,5,4.5,Strong Allocation
TLRY,5,-483006303.1,0,563775175.2,-1407843006,4,5,5,4.5,Strong Allocation
CCL,5,-4423074726,0.2,5713692638,-3114220645,4,5,5,4.5,Strong Allocation
MRNA,5,2989239549,0.4,7176481491,-4163321072,4,5,5,4.5,Strong Allocation
LUMN,5,-3314354242,0.2,4771317597,-5082331154,4,5,5,4.5,Strong Allocation
SATS,5,-310964248.3,0.4,779863611.9,-1629796715,4,5,5,4.5,Strong Allocation
TEO,5,-3.87176E+11,0.2,6.2431E+11,-5.34916E+11,4,5,5,4.5,Strong Allocation
MDGL,5,-237832558.6,0,105566395.7,-275028435.4,5,3,5,4.4,Strong Allocation
ASAN,5,-254189613.5,0,100535259.3,-131170578,5,3,5,4.4,Strong Allocation
ADCT,5,-197961387.8,0,62987089.08,-131228822.9,5,3,5,4.4,Strong Allocation
AEVA,5,-87531506.62,0,62873141.77,-133607376.8,5,3,5,4.4,Strong Allocation
CBB,5,-93027222.32,0,64269743.85,-123745258.4,5,3,5,4.4,Strong Allocation
ESTC,5,-163677147.7,0,50863220.18,-124098120.5,5,3,5,4.4,Strong Allocation
ATEC,5,-124240825,0,54082769.73,-124440764.4,5,3,5,4.4,Strong Allocation
NRIX,5,-101548816.1,0,64956723.07,-124683008.2,5,3,5,4.4,Strong Allocation
IDEX,5,-194353549.7,0,89405554.66,-125752745.9,5,3,5,4.4,Strong Allocation
BCRX,5,-193977008.6,0,57088451.78,-123086782.4,5,3,5,4.4,Strong Allocation
PCOK,5,-52064976.1,0,54428871.25,-128686778.6,5,3,5,4.4,Strong Allocation
CDNA,5,-66008477.68,0,68395286.22,-158760980.1,5,3,5,4.4,Strong Allocation
CRNX,5,-122336105.2,0,66503680.86,-158810848.1,5,3,5,4.4,Strong Allocation
RVNC,5,-275626361.3,0,79041205.26,-163084733.1,5,3,5,4.4,Strong Allocation
SANA,5,-270069383.2,0,81208895.71,-155299939.6,5,3,5,4.4,Strong Allocation
SGMO,5,-168331150.3,0,61258758.52,-155428005,5,3,5,4.4,Strong Allocation
BCYC,5,-90141848.38,0,62728839.37,-155844341.3,5,3,5,4.4,Strong Allocation
COGT,5,-102007312.5,0,60443000.23,-150922175.9,5,3,5,4.4,Strong Allocation
ALXO,5,-88688279.52,0,58067709.42,-141794566.6,5,3,5,4.4,Strong Allocation
KROS,5,-73975753.66,0,55008822.11,-138795910.9,5,3,5,4.4,Strong Allocation
BTAI,5,-115214860.1,0,60922652.8,-142173678.7,5,3,5,4.4,Strong Allocation
AGEN,5,-155652455,0,91240588.79,-143644334.3,5,3,5,4.4,Strong Allocation
MRSN,5,-128555064.6,0,70312994.61,-143920469.6,5,3,5,4.4,Strong Allocation
RCKT,5,-171167969.2,0,70344725.12,-176988835.3,5,3,5,4.4,Strong Allocation
AXSM,5,-145879459.2,0,71793736.37,-180222268.4,5,3,5,4.4,Strong Allocation
ALVR,5,-125509703.4,0,75216795.3,-173323622,5,3,5,4.4,Strong Allocation
ADPT,5,-170106251.8,0,64254049.6,-166175165.6,5,3,5,4.4,Strong Allocation
PLRX,5,-86911068.38,0,65987177.18,-166272911.6,5,3,5,4.4,Strong Allocation
NEXT,5,-71333156.68,0,87053001.42,-186542765.7,5,3,5,4.4,Strong Allocation
HYZN,5,-49136928.04,0,78194386.06,-187292244.7,5,3,5,4.4,Strong Allocation
BNGO,5,-102050942.4,0,80140676.37,-193860617,5,3,5,4.4,Strong Allocation
RNA,5,-114557375.2,0,82504045.51,-195919272.1,5,3,5,4.4,Strong Allocation
BLNK,5,-75539180.1,0,80478878.87,-198121512.4,5,3,5,4.4,Strong Allocation
PGRE,5,-75440589.44,0,101350260.2,-219525135.8,5,3,5,4.4,Strong Allocation
DYN,5,-124006770.5,0,85524746.81,-210799783.7,5,3,5,4.4,Strong Allocation
FGEN,5,-227736660.1,0,97578582.7,-207819494.5,5,3,5,4.4,Strong Allocation
INBX,5,-117550497.5,0,74133609.7,-183445675.4,5,3,5,4.4,Strong Allocation
IOVA,5,-333135652.8,0,102725395.5,-252244979.2,5,3,5,4.4,Strong Allocation
ZNTL,5,-172074823.4,0,100674877.1,-252487442.3,5,3,5,4.4,Strong Allocation
ARQT,5,-192863780.5,0,109980476.1,-232421368.7,5,3,5,4.4,Strong Allocation
AMBA,5,-71823102.92,0,53201567.15,-120230498.2,5,3,5,4.4,Strong Allocation
DZSI,5,-49347917.98,0,48737586.3,-120829267.2,5,3,5,4.4,Strong Allocation
MORF,5,-79832605.88,0,46573350.39,-110519956.7,5,3,5,4.4,Strong Allocation
ATHA,5,-59140912.28,0,48327270.02,-111458264.7,5,3,5,4.4,Strong Allocation
KYMR,5,-97143924.2,0,54091675.89,-111465999.8,5,3,5,4.4,Strong Allocation
PHR,5,-96117240.46,0,71077588.29,-114944268.5,5,3,5,4.4,Strong Allocation
OLMA,5,-60474737.44,0,45589351.07,-94377255.8,5,3,5,4.4,Strong Allocation
KNTE,5,-73456736.56,0,47086896.15,-95675421.3,5,3,5,4.4,Strong Allocation
KRON,5,-100911466.1,0,54344139.92,-97201395.4,5,3,5,4.4,Strong Allocation
ANNX,5,-101531278.8,0,49284652.95,-101808937.7,5,3,5,4.4,Strong Allocation
ESPR,5,-189384003.7,0,69081567.06,-105656888.7,5,3,5,4.4,Strong Allocation
BNED,5,-75166475.38,0,48418411.4,-79502972.6,5,3,5,4.4,Strong Allocation
FSLY,5,-135631559.8,0,66527698.69,-81780872,5,3,5,4.4,Strong Allocation
NET,5,-175525172,0,59031699.31,-82800097.4,5,3,5,4.4,Strong Allocation
PRAX,5,-120560436.5,0,74255928.58,-88575296.6,5,3,5,4.4,Strong Allocation
ALLK,5,-197929765.4,0,88292422.2,-94563847.8,5,3,5,4.4,Strong Allocation
BGNE,5,-1381520598,0,474137068.2,120228869.1,5,5,2,4.4,Strong Allocation
DASH,5,-718203729,0,388014495.6,99075179.8,5,5,2,4.4,Strong Allocation
PSFE,5,-447206477.3,0,789937793.7,96133956.8,5,5,2,4.4,Strong Allocation
OPEN,5,-573221839.8,0,468736880.1,51211350.9,5,5,2,4.4,Strong Allocation
EXAS,5,-487554061.3,0,270684487.5,1323691,5,4,3,4.3,Strong Allocation
CNK,5,-186281242.1,0.4,363814389.3,-17158246.8,4,5,4,4.3,Strong Allocation
CTGO,5,-1843335861,0.2,4095180420,-31809474.4,4,5,4,4.3,Strong Allocation
ALEC,5,-120744402.9,0,57517647.26,-28004272.2,5,3,4,4.2,Strong Allocation
ANY,5,-46880885.96,0,77163910.54,-19061803.9,5,3,4,4.2,Strong Allocation
ERNA,5,-40763698.36,0,49880958.98,-20610279.4,5,3,4,4.2,Strong Allocation
CYDY,5,-132109491.9,0,66645903.77,-22356547,5,3,4,4.2,Strong Allocation
ATER,5,-121789399.3,0,79335278.93,-14761131,5,3,4,4.2,Strong Allocation
RRGB,5,-86092421.72,0,107324817.9,-13719087.7,5,3,4,4.2,Strong Allocation
FIXX,5,-90385445.78,0,49817970.35,-14120071.7,5,3,4,4.2,Strong Allocation
FLDM,5,-90338789.52,0,60297025.55,-6938596.1,5,3,4,4.2,Strong Allocation
BE,5,-240178895.7,0,77413850.04,-5641430.9,5,3,4,4.2,Strong Allocation
ASRT,5,-91702538.78,0.2,173676120.3,-94855800.3,4,4,5,4.2,Strong Allocation
NHHS,5,-107953419.7,0.2,112807245.3,-86973372.5,4,4,5,4.2,Strong Allocation
ITOS,5,28210997.04,0.4,132516469.5,-90782067.9,4,4,5,4.2,Strong Allocation
SKLZ,5,-177263425.8,0,153811703.2,-82020514.8,4,4,5,4.2,Strong Allocation
WKHS,5,-119185674.7,0.2,169886182.3,-85409390.8,4,4,5,4.2,Strong Allocation
REAL,5,-176719734.9,0,54743607.4,-77879351.3,5,3,4,4.2,Strong Allocation
IKNX,5,-51643155.12,0,47084360.51,-73356981.1,5,3,4,4.2,Strong Allocation
LDI,5,-52478426.1,0.2,140816272.1,-110010800.1,4,4,5,4.2,Strong Allocation
GERN,5,-67279720.6,0.2,114831078.3,-111531254.7,4,4,5,4.2,Strong Allocation
MPLN,5,-219933747.1,0.4,317391747.8,-103457086.1,4,4,5,4.2,Strong Allocation
NOTV,5,-89033283.16,0.2,149106685.7,-108120274.8,4,4,5,4.2,Strong Allocation
FATE,5,-182914167.4,0,62319807.93,-59226596.7,5,3,4,4.2,Strong Allocation
APPN,5,-86505950.94,0,45336587.74,-61305920.9,5,3,4,4.2,Strong Allocation
ANAB,5,-94022976.64,0,56378680.16,-65552803.6,5,3,4,4.2,Strong Allocation
ATXS,5,-75114242.44,0,64634577.82,-50991763,5,3,4,4.2,Strong Allocation
RYTM,5,-145402259.3,0,49939104.19,-49204638.7,5,3,4,4.2,Strong Allocation
MCRB,5,-114192740,0,71570049.55,-40678848.5,5,3,4,4.2,Strong Allocation
ANGO,5,-56846705.46,0,59891028.34,-43636900.5,5,3,4,4.2,Strong Allocation
RDFN,5,-128246152.1,0,109454753,-44933602.5,5,3,4,4.2,Strong Allocation
BIVI,5,-44759485.14,0,49791087.06,-45441125.8,5,3,4,4.2,Strong Allocation
NNDM,5,-106990381.1,0,98394335.87,-45479704.5,5,3,4,4.2,Strong Allocation
PACB,5,-173043919.1,0.2,149692747.7,-234307436.5,4,4,5,4.2,Strong Allocation
VRM,5,-303538725.6,0,126507201.7,-229300446.1,4,4,5,4.2,Strong Allocation
